,distance,num_muts,method,metric,num_trees
0,0.0,10,Consensus_Tree,CASet,10
1,0.0,10,Consensus_Tree,CASet,10
2,0.0074074074074074086,10,Consensus_Tree,CASet,10
3,0.0,10,Consensus_Tree,CASet,10
4,0.1142857142857143,10,Consensus_Tree,CASet,10
5,0.0,10,Consensus_Tree,CASet,10
6,0.0,10,Consensus_Tree,CASet,10
7,0.03333333333333333,10,Consensus_Tree,CASet,10
8,0.0,10,Consensus_Tree,CASet,10
9,0.011111111111111112,10,Consensus_Tree,CASet,10
10,0.0,10,Consensus_Tree,CASet,10
11,0.0,10,Consensus_Tree,CASet,10
12,0.0,10,Consensus_Tree,CASet,10
13,0.0,10,Consensus_Tree,CASet,10
14,0.0,10,Consensus_Tree,CASet,10
15,0.004444444444444444,10,Consensus_Tree,CASet,10
16,0.0,10,Consensus_Tree,CASet,10
17,0.0,10,Consensus_Tree,CASet,10
18,0.0,10,Consensus_Tree,CASet,10
19,0.0,10,Consensus_Tree,CASet,10
20,0.0,10,Consensus_Tree,CASet,10
21,0.0,10,Consensus_Tree,CASet,10
22,0.0,10,Consensus_Tree,CASet,10
23,0.0,10,Consensus_Tree,CASet,10
24,0.0,10,Consensus_Tree,CASet,10
25,0.0,10,Consensus_Tree,CASet,10
26,0.059259259259259275,10,Consensus_Tree,CASet,10
27,0.027777777777777776,10,Consensus_Tree,CASet,10
28,0.0,10,Consensus_Tree,CASet,10
29,0.0,10,Consensus_Tree,CASet,10
30,0.03703703703703704,10,Consensus_Tree,CASet,10
31,0.059259259259259275,10,Consensus_Tree,CASet,10
32,0.0,10,Consensus_Tree,CASet,10
33,0.0,10,Consensus_Tree,CASet,10
34,0.0,10,Consensus_Tree,CASet,10
35,0.0,10,Consensus_Tree,CASet,10
36,0.0074074074074074086,10,Consensus_Tree,CASet,10
37,0.0,10,Consensus_Tree,CASet,10
38,0.0,10,Consensus_Tree,CASet,10
39,0.0,10,Consensus_Tree,CASet,10
40,0.0,10,Consensus_Tree,CASet,10
41,0.0,10,Consensus_Tree,CASet,10
42,0.026666666666666672,10,Consensus_Tree,CASet,10
43,0.0,10,Consensus_Tree,CASet,10
44,0.06814814814814817,10,Consensus_Tree,CASet,10
45,0.0,10,Consensus_Tree,CASet,10
46,0.0,10,Consensus_Tree,CASet,10
47,0.0,10,Consensus_Tree,CASet,10
48,0.0,10,Consensus_Tree,CASet,10
49,0.05,10,Consensus_Tree,CASet,10
50,0.0,10,Consensus_Tree,CASet,10
51,0.0,10,Consensus_Tree,CASet,10
52,0.0,10,Consensus_Tree,CASet,10
53,0.0,10,Consensus_Tree,CASet,10
54,0.0,10,Consensus_Tree,CASet,10
55,0.005555555555555556,10,Consensus_Tree,CASet,10
56,0.0,10,Consensus_Tree,CASet,10
57,0.0,10,Consensus_Tree,CASet,10
58,0.005555555555555556,10,Consensus_Tree,CASet,10
59,0.014814814814814817,10,Consensus_Tree,CASet,10
60,0.0,10,Consensus_Tree,CASet,10
61,0.0,10,Consensus_Tree,CASet,10
62,0.011111111111111112,10,Consensus_Tree,CASet,10
63,0.0,10,Consensus_Tree,CASet,10
64,0.03333333333333333,10,Consensus_Tree,CASet,10
65,0.022222222222222223,10,Consensus_Tree,CASet,10
66,0.01333333333333333,10,Consensus_Tree,CASet,10
67,0.0,10,Consensus_Tree,CASet,10
68,0.0,10,Consensus_Tree,CASet,10
69,0.0,10,Consensus_Tree,CASet,10
70,0.0,10,Consensus_Tree,CASet,10
71,0.0,10,Consensus_Tree,CASet,10
